# mpl-nrb : v.20150816.1315/Linux - MPL4/SCO: dowloaded from MPLNET
# Date Time, aod
2020-07-08 19:27:30 0.6792898	
2020-07-08 19:28:29 0.67997944	
2020-07-08 19:29:30 0.6799386	
2020-07-08 19:30:29 0.6795148	
2020-07-08 19:31:30 0.6799181	
2020-07-08 19:32:29 0.6784372	
2020-07-08 19:33:30 0.6770689	
2020-07-08 19:34:30 0.67565966	
2020-07-08 19:35:29 0.67403513	
2020-07-08 19:36:30 0.67103845	
2020-07-08 19:37:29 0.6689935	
2020-07-08 19:38:30 0.6687079	
2020-07-08 19:39:29 0.66524917	
2020-07-08 19:40:30 0.6607809	
2020-07-08 19:41:29 0.6587544	
2020-07-08 19:42:30 0.6572361	
2020-07-08 19:43:30 0.6576247	
2020-07-08 19:44:29 0.65570164	
2020-07-08 19:45:30 0.65415394	
2020-07-08 19:46:29 0.65271235	
2020-07-08 19:47:30 0.6518914	
2020-07-08 19:48:29 0.6492632	
2020-07-08 19:49:30 0.6471819	
2020-07-08 19:50:29 0.6467811	
2020-07-08 19:51:30 0.6455239	
2020-07-08 19:52:30 0.64450395	
2020-07-08 19:53:29 0.6443809	
2020-07-08 19:54:30 0.64101076	
2020-07-08 19:55:29 0.64020854	
2020-07-08 19:56:30 0.6391134	
2020-07-08 19:57:29 0.6399664	
2020-07-08 19:58:30 0.6385214	
2020-07-08 19:59:29 0.6377835	
2020-07-08 20:00:30 0.6379129	
2020-07-08 20:01:30 0.6378123	
2020-07-08 20:02:29 0.6372503	
2020-07-08 20:03:30 0.6369389	
2020-07-08 20:04:29 0.6360987	
2020-07-08 20:05:30 0.6347847	
2020-07-08 20:06:29 0.63424844	
2020-07-08 20:07:30 0.6344268	
2020-07-08 20:08:29 0.6323655	
2020-07-08 20:09:30 0.6321073	
2020-07-08 20:10:30 0.6307688	
2020-07-08 20:11:29 0.6286418	
2020-07-08 20:12:30 0.627508	
2020-07-08 20:13:29 0.6257391	
2020-07-08 20:14:30 0.6249017	
2020-07-08 20:15:29 0.623815	
2020-07-08 20:16:30 0.62040865	
2020-07-08 20:17:29 0.6207539	
2020-07-08 20:18:30 0.6194901	
2020-07-08 20:19:30 0.61928797	
2020-07-08 20:20:29 0.61772156	
2020-07-08 20:21:30 0.6159238	
2020-07-08 20:22:29 0.6147395	
2020-07-08 20:23:30 0.6128769	
2020-07-08 20:24:29 0.6109696	
2020-07-08 20:25:30 0.6089901	
2020-07-08 20:26:29 0.6076495	
2020-07-08 20:27:30 0.6063765	
2020-07-08 20:28:30 0.605331	
2020-07-08 20:29:29 0.6034633	
2020-07-08 20:30:30 0.60240734	
2020-07-08 20:31:29 0.6003317	
2020-07-08 20:32:30 0.5986744	
2020-07-08 20:33:29 0.59743464	
2020-07-08 20:34:30 0.59694177	
2020-07-08 20:35:29 0.59594595	
2020-07-08 20:36:30 0.59441453	
2020-07-08 20:37:30 0.59324056	
2020-07-08 20:38:29 0.59232634	
2020-07-08 20:39:30 0.5913723	
2020-07-08 20:40:29 0.5907135	
2020-07-08 20:41:30 0.5899069	
2020-07-08 20:42:29 0.58967394	
2020-07-08 20:43:30 0.58960634	
2020-07-08 20:44:29 0.5887839	
2020-07-08 20:45:30 0.5871004	
2020-07-08 20:46:30 0.5857156	
2020-07-08 20:47:29 0.58463895	
2020-07-08 20:48:30 0.5826277	
2020-07-08 20:49:29 0.5814352	
2020-07-08 20:50:30 0.58037347	
2020-07-08 20:51:29 0.57788354	
2020-07-08 20:52:30 0.57599896	
2020-07-08 20:53:29 0.5742069	
2020-07-08 20:54:30 0.57121044	
2020-07-08 20:55:30 0.5679371	
2020-07-08 20:56:29 0.5629458	
2020-07-08 20:57:30 0.56133527	
2020-07-08 20:58:29 0.5603374	
2020-07-08 20:59:30 0.5580053	
2020-07-08 21:00:29 0.5541431	
2020-07-08 21:01:30 0.55145377	
2020-07-08 21:02:29 0.54891175	
2020-07-08 21:03:30 0.545416	
2020-07-08 21:04:30 0.5411702	
2020-07-08 21:05:29 0.53810006	
2020-07-08 21:06:30 0.53699076	
2020-07-08 21:07:29 0.5354072	
2020-07-08 21:08:30 0.5323077	
2020-07-08 21:09:29 0.5298012	
2020-07-08 21:10:30 0.526785	
2020-07-08 21:11:29 0.5237513	
2020-07-08 21:12:30 0.5215985	
2020-07-08 21:13:30 0.51916236	
2020-07-08 21:14:29 0.51693785	
2020-07-08 21:15:30 0.51590776	
2020-07-08 21:16:29 0.51407725	
2020-07-08 21:17:30 0.5128563	
2020-07-08 21:18:29 0.51092464	
2020-07-08 21:19:30 0.50751984	
2020-07-08 21:20:29 0.5060874	
2020-07-08 21:21:30 0.5072011	
2020-07-08 21:22:30 0.5058062	
2020-07-08 21:23:29 0.5047401	
2020-07-08 21:24:30 0.504109	
2020-07-08 21:25:29 0.50284564	
2020-07-08 21:26:30 0.5011523	
2020-07-08 21:27:29 0.4981549	
2020-07-08 21:28:30 0.4962285	
2020-07-08 21:29:29 0.49494419	
2020-07-08 21:30:30 0.4937689	
2020-07-08 21:31:30 0.49398252	
2020-07-08 21:32:29 0.49457675	
2020-07-08 21:33:30 0.49477428	
2020-07-08 21:34:29 0.49478674	
2020-07-08 21:35:30 0.49358043	
2020-07-08 21:36:29 0.4923049	
2020-07-08 21:37:30 0.49249825	
2020-07-08 21:38:29 0.49360892	
2020-07-08 21:39:30 0.49492025	
2020-07-08 21:40:30 0.4943544	
2020-07-08 21:41:29 0.4937038	
2020-07-08 21:42:30 0.49317235	
2020-07-08 21:43:29 0.49347028	
2020-07-08 21:44:30 0.49314457	
2020-07-08 21:45:29 0.49258825	
2020-07-08 21:46:30 0.49346468	
2020-07-08 21:47:29 0.4945549	
2020-07-08 21:48:30 0.49579403	
2020-07-08 21:49:30 0.49646303	
2020-07-08 21:50:29 0.4962079	
2020-07-08 21:51:30 0.4958548	
2020-07-08 21:52:29 0.49468964	
2020-07-08 21:53:30 0.4930363	
2020-07-08 21:54:29 0.49294832	
2020-07-08 21:55:30 0.4941512	
2020-07-08 21:56:29 0.49518225	
2020-07-08 21:57:30 0.4966266	
2020-07-08 21:58:30 0.49649477	
2020-07-08 21:59:29 0.49554142	
2020-07-08 22:00:30 0.49437967	
2020-07-08 22:01:29 0.49491304	
2020-07-08 22:02:30 0.49414223	
2020-07-08 22:03:29 0.49366003	
2020-07-08 22:04:30 0.49271756	
2020-07-08 22:05:29 0.49152237	
2020-07-08 22:06:30 0.48934844	
2020-07-08 22:07:30 0.48725626	
2020-07-08 22:08:29 0.48639783	
2020-07-08 22:09:30 0.4854857	
2020-07-08 22:10:29 0.48329973	
2020-07-08 22:11:30 0.48199525	
2020-07-08 22:12:29 0.4819453	
2020-07-08 22:13:30 0.48226187	
2020-07-08 22:14:29 0.48190022	
2020-07-08 22:15:30 0.48014507	
2020-07-08 22:16:30 0.47949424	
2020-07-08 22:17:29 0.47815734	
2020-07-08 22:18:30 0.47532764	
2020-07-08 22:19:29 0.4722677	
2020-07-08 22:20:30 0.4704451	
2020-07-08 22:21:29 0.4688246	
2020-07-08 22:22:30 0.46573284	
2020-07-08 22:23:29 0.46441644	
2020-07-08 22:24:30 0.46352497	
2020-07-08 22:25:30 0.4626364	
2020-07-08 22:26:29 0.4626455	
2020-07-08 22:27:30 0.46206895	
2020-07-08 22:28:29 0.46142322	
2020-07-08 22:29:30 0.45909485	
2020-07-08 22:30:29 0.458244	
