# mpl-nrb : v.20150816.1315/Linux - MPL4/SCO: dowloaded from MPLNET
Date Time aod
2020-05-22 09:51:30 0.06914414	
2020-05-22 09:52:29 0.070072606	
2020-05-22 09:53:30 0.06996396	
2020-05-22 09:54:29 0.06941468	
2020-05-22 09:55:30 0.06925327	
2020-05-22 09:56:29 0.06868933	
2020-05-22 09:57:30 0.070276506	
2020-05-22 09:58:30 0.06969812	
2020-05-22 09:59:29 0.069304146	
2020-05-22 10:00:30 0.0686266	
2020-05-22 10:01:29 0.06833222	
2020-05-22 10:02:30 0.0686228	
2020-05-22 10:03:29 0.06866045	
2020-05-22 10:04:30 0.069093116	
2020-05-22 10:05:29 0.068346	
2020-05-22 10:06:30 0.06837771	
2020-05-22 10:07:30 0.068568446	
2020-05-22 10:08:29 0.068887584	
2020-05-22 10:09:30 0.06923955	
2020-05-22 10:10:29 0.07056046	
2020-05-22 10:11:30 0.070504375	
2020-05-22 10:12:29 0.07816298	
2020-05-22 10:13:30 0.076313436	
2020-05-22 10:14:29 0.07616276	
2020-05-22 10:15:30 0.07542265	
2020-05-22 10:16:30 0.06908774	
2020-05-22 10:17:29 0.06932482	
2020-05-22 10:18:30 0.06888645	
2020-05-22 10:19:29 0.06988965	
2020-05-22 10:20:30 0.070208594	
2020-05-22 10:21:29 0.070632696	
2020-05-22 10:22:30 0.07033981	
2020-05-22 10:23:29 0.06974936	
2020-05-22 10:24:30 0.06878276	
2020-05-22 10:25:30 0.06814993	
2020-05-22 10:26:29 0.068577655	
2020-05-22 10:27:30 0.06977931	
2020-05-22 10:28:29 0.07067037	
2020-05-22 10:29:30 0.070615515	
2020-05-22 10:30:29 0.070448585	
2020-05-22 10:31:30 0.07092668	
2020-05-22 10:32:29 0.0701549	
2020-05-22 10:33:30 0.07131132	
2020-05-22 10:34:30 0.07130202	
2020-05-22 10:35:29 0.07185683	
2020-05-22 10:36:30 0.07295193	
2020-05-22 10:37:29 0.07246251	
2020-05-22 10:38:30 0.07155025	
2020-05-22 10:39:29 0.07256661	
2020-05-22 10:40:30 0.07243167	
2020-05-22 10:41:29 0.0719048	
2020-05-22 10:42:30 0.0715901	
2020-05-22 10:43:30 0.0718871	
2020-05-22 10:44:29 0.0717441	
2020-05-22 10:45:30 0.072560586	
2020-05-22 10:46:29 0.07282973	
2020-05-22 10:47:30 0.07305585	
2020-05-22 10:48:29 0.073057696	
2020-05-22 10:49:30 0.072452776	
2020-05-22 10:50:29 0.07211642	
2020-05-22 10:51:30 0.07295121	
2020-05-22 10:52:30 0.07175525	
2020-05-22 10:53:29 0.072443314	
2020-05-22 10:54:30 0.071884386	
2020-05-22 10:55:29 0.07213577	
2020-05-22 10:56:30 0.071957685	
2020-05-22 10:57:29 0.0708531	
2020-05-22 10:58:30 0.07067181	
2020-05-22 10:59:29 0.07236206	
2020-05-22 11:00:30 0.0724088	
2020-05-22 11:01:30 0.07227226	
2020-05-22 11:02:29 0.0724717	
2020-05-22 11:03:30 0.07317926	
2020-05-22 11:04:29 0.07300942	
2020-05-22 11:05:30 0.07326739	
2020-05-22 11:06:29 0.07267814	
2020-05-22 11:07:30 0.071542956	
2020-05-22 11:08:29 0.07021747	
2020-05-22 11:09:30 0.07002262	
2020-05-22 11:10:30 0.06987828	
2020-05-22 11:11:29 0.071011834	
2020-05-22 11:12:30 0.07290789	
2020-05-22 11:13:29 0.07404592	
2020-05-22 11:14:30 0.07275437	
2020-05-22 11:15:29 0.07116045	
2020-05-22 11:16:30 0.070733905	
2020-05-22 11:17:29 0.071559034	
2020-05-22 11:18:30 0.07128178	
2020-05-22 11:19:30 0.06912389	
2020-05-22 11:20:29 0.071080744	
2020-05-22 11:21:30 0.07072761	
2020-05-22 11:22:29 0.071965836	
2020-05-22 11:23:30 0.071524315	
2020-05-22 11:24:29 0.06825096	
2020-05-22 11:25:30 0.07021065	
2020-05-22 11:26:29 0.07148193	
2020-05-22 11:27:30 0.070280075	
2020-05-22 11:28:30 0.070260145	
2020-05-22 11:29:29 0.07046936	
2020-05-22 11:30:30 0.07021094	
2020-05-22 11:31:29 0.06955907	
2020-05-22 11:32:30 0.069157705	
2020-05-22 11:33:29 0.06686869	
2020-05-22 11:34:30 0.07073955	
2020-05-22 11:35:29 0.06966163	
2020-05-22 11:36:30 0.07110774	
2020-05-22 11:37:30 0.07176368	
2020-05-22 11:38:29 0.07028752	
2020-05-22 11:39:30 0.07002856	
2020-05-22 11:40:29 0.07085948	
2020-05-22 11:41:30 0.071249574	
2020-05-22 11:42:29 0.07080945	
2020-05-22 11:43:30 0.069165714	
2020-05-22 11:44:29 0.06915751	
2020-05-22 11:45:30 0.0681975	
2020-05-22 11:46:30 0.0699232	
2020-05-22 11:47:29 0.06925436	
2020-05-22 11:48:30 0.06848834	
2020-05-22 11:49:29 0.06954665	
2020-05-22 11:50:30 0.06905199	
2020-05-22 11:51:29 0.06961663	
2020-05-22 11:52:30 0.07081873	
2020-05-22 11:53:29 0.070146844	
2020-05-22 11:54:30 0.06874256	
2020-05-22 11:55:30 0.07034722	
2020-05-22 11:56:29 0.07110885	
2020-05-22 11:57:30 0.07142711	
2020-05-22 11:58:29 0.07061251	
2020-05-22 11:59:30 0.071665466	
2020-05-22 12:00:29 0.0713891	
2020-05-22 12:01:30 0.07074865	
2020-05-22 12:02:29 0.071622975	
2020-05-22 12:03:30 0.07230355	
2020-05-22 12:04:30 0.07337587	
2020-05-22 12:05:29 0.074226804	
2020-05-22 12:06:30 0.07588059	
2020-05-22 12:07:29 0.07622333	
2020-05-22 12:08:30 0.0753359	
2020-05-22 12:09:29 0.0764445	
2020-05-22 12:10:30 0.07456289	
2020-05-22 12:11:29 0.07274876	
2020-05-22 12:12:30 0.070961125	
2020-05-22 12:13:30 0.07100753	
2020-05-22 12:14:29 0.07127448	
2020-05-22 12:15:30 0.071724914	
2020-05-22 12:16:29 0.07112383	
2020-05-22 12:17:30 0.071655385	
2020-05-22 12:18:29 0.07207894	
2020-05-22 12:19:30 0.07203104	
2020-05-22 12:20:29 0.072764054	
2020-05-22 12:21:30 0.07445215	
2020-05-22 12:22:30 0.07547821	
2020-05-22 12:23:29 0.07493941	
2020-05-22 12:24:30 0.07562775	
2020-05-22 12:25:29 0.07434995	
2020-05-22 12:26:30 0.07502645	
2020-05-22 12:27:29 0.083304234	
2020-05-22 12:28:30 0.063152924	
2020-05-22 12:29:29 0.07335661	
2020-05-22 12:30:30 0.06807194	
2020-05-22 12:31:30 0.07762555	
2020-05-22 12:32:29 0.07351764	
